unit_code,canonical_name,organization_type,unit_level,admin_level,org_nature,year_start,year_end,source_ref,source_url,source_type,source_kind,code_source,crawled_at,crawl_version,unit_name_raw,unit_code_raw,dedup_key,qa_label,qa_annotator,qa_confidence,qa_note,qa_date,dataset_name,export_date
BCA_C01,Văn phòng Cơ quan Cảnh sát điều tra Bộ Công an,BCA,cap_bo,cap_bo,cong_an,2018,2026,nd_bca_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Văn phòng Cơ quan Cảnh sát điều tra Bộ Công an,BCA_C01,van phong co quan canh sat ieu tra bo cong an,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_C02,Cục Cảnh sát hình sự,BCA,cap_bo,cap_bo,cong_an,2018,2026,nd_bca_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Cục Cảnh sát hình sự,BCA_C02,cuc canh sat hinh su,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_C03,"Cục Cảnh sát điều tra tội phạm về tham nhũng, kinh tế, buôn lậu",BCA,cap_bo,cap_bo,cong_an,2018,2026,nd_bca_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,"Cục Cảnh sát điều tra tội phạm về tham nhũng, kinh tế, buôn lậu",BCA_C03,cuc canh sat ieu tra toi pham ve tham nhung kinh te buon lau,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_C04,Cục Cảnh sát điều tra tội phạm về ma túy,BCA,cap_bo,cap_bo,cong_an,2018,2026,nd_bca_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Cục Cảnh sát điều tra tội phạm về ma túy,BCA_C04,cuc canh sat ieu tra toi pham ve ma tuy,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_C06,Cục Cảnh sát quản lý hành chính về trật tự xã hội,BCA,cap_bo,cap_bo,cong_an,2018,2026,nd_bca_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Cục Cảnh sát quản lý hành chính về trật tự xã hội,BCA_C06,cuc canh sat quan ly hanh chinh ve trat tu xa hoi,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_C07,Cục Cảnh sát Phòng cháy chữa cháy và Cứu nạn cứu hộ,BCA,cap_bo,cap_bo,cong_an,2018,2026,nd_bca_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Cục Cảnh sát Phòng cháy chữa cháy và Cứu nạn cứu hộ,BCA_C07,cuc canh sat phong chay chua chay va cuu nan cuu ho,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_C08,Cục Cảnh sát giao thông,BCA,cap_bo,cap_bo,cong_an,2018,2026,nd_bca_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Cục Cảnh sát giao thông,BCA_C08,cuc canh sat giao thong,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_C10,"Cục Cảnh sát quản lý trại giam, cơ sở giáo dục bắt buộc",BCA,cap_bo,cap_bo,cong_an,2018,2026,nd_bca_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,"Cục Cảnh sát quản lý trại giam, cơ sở giáo dục bắt buộc",BCA_C10,cuc canh sat quan ly trai giam co so giao duc bat buoc,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_A01,Văn phòng Cơ quan An ninh điều tra Bộ Công an,BCA,cap_bo,cap_bo,cong_an,2018,2026,nd_bca_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Văn phòng Cơ quan An ninh điều tra Bộ Công an,BCA_A01,van phong co quan an ninh ieu tra bo cong an,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_A02,Cục An ninh chính trị nội bộ,BCA,cap_bo,cap_bo,cong_an,2018,2026,nd_bca_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Cục An ninh chính trị nội bộ,BCA_A02,cuc an ninh chinh tri noi bo,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_A03,Cục An ninh kinh tế,BCA,cap_bo,cap_bo,cong_an,2018,2026,nd_bca_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Cục An ninh kinh tế,BCA_A03,cuc an ninh kinh te,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_A05,Cục An ninh mạng và phòng chống tội phạm công nghệ cao,BCA,cap_bo,cap_bo,cong_an,2018,2026,nd_bca_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Cục An ninh mạng và phòng chống tội phạm công nghệ cao,BCA_A05,cuc an ninh mang va phong chong toi pham cong nghe cao,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_K01,Bộ Tư lệnh Cảnh vệ,BCA,cap_bo,cap_bo,cong_an,2018,2026,nd_bca_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Bộ Tư lệnh Cảnh vệ,BCA_K01,bo tu lenh canh ve,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_K02,Bộ Tư lệnh Cảnh sát cơ động,BCA,cap_bo,cap_bo,cong_an,2018,2026,nd_bca_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Bộ Tư lệnh Cảnh sát cơ động,BCA_K02,bo tu lenh canh sat co ong,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_T01,Học viện An ninh nhân dân,BCA,truong_hoc,cap_bo,giao_duc,2018,2026,catalog_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Học viện An ninh nhân dân,BCA_T01,hoc vien an ninh nhan dan,BCA,Luat_Nghiep_Vu_Chinh,TRUNG_BINH,Tên có thể gây nhầm lẫn ngành/ngoài ngành,2026-09-13,DataVietNam,2026-09-13
BCA_T02,Học viện Cảnh sát nhân dân,BCA,truong_hoc,cap_bo,giao_duc,2018,2026,catalog_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Học viện Cảnh sát nhân dân,BCA_T02,hoc vien canh sat nhan dan,BCA,Luat_Nghiep_Vu_Chinh,TRUNG_BINH,Tên có thể gây nhầm lẫn ngành/ngoài ngành,2026-09-13,DataVietNam,2026-09-13
BCA_T03,Học viện Chính trị Công an nhân dân,BCA,truong_hoc,cap_bo,giao_duc,2018,2026,catalog_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Học viện Chính trị Công an nhân dân,BCA_T03,hoc vien chinh tri cong an nhan dan,BCA,Luat_Nghiep_Vu_Chinh,TRUNG_BINH,Tên có thể gây nhầm lẫn ngành/ngoài ngành,2026-09-13,DataVietNam,2026-09-13
BCA_BV198,Bệnh viện 19 - 8 Bộ Công an,BCA,benh_vien,cap_bo,y_te,2018,2026,catalog_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Bệnh viện 19-8 Bộ Công an,BCA_BV198,benh vien 19 8 bo cong an,BCA,Luat_Nghiep_Vu_Chinh,TRUNG_BINH,Tên có thể gây nhầm lẫn ngành/ngoài ngành,2026-09-13,DataVietNam,2026-09-13
BCA_BV304,Bệnh viện 30 - 4 Bộ Công an,BCA,benh_vien,cap_bo,y_te,2018,2026,catalog_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Bệnh viện 30-4 Bộ Công an,BCA_BV304,benh vien 30 4 bo cong an,BCA,Luat_Nghiep_Vu_Chinh,TRUNG_BINH,Tên có thể gây nhầm lẫn ngành/ngoài ngành,2026-09-13,DataVietNam,2026-09-13
BCA_CA_HN,Công an Thành phố Hà Nội,BCA,cap_tinh,cap_tinh,cong_an,2018,2026,dvc_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Công an Thành phố Hà Nội,BCA_CA_HN,cong an thanh pho ha noi,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_CA_HN_PC01,Văn phòng Cơ quan Cảnh sát điều tra - Công an Thành phố Hà Nội,BCA,cap_phong,cap_tinh,cong_an,2018,2026,dvc_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Văn phòng Cơ quan Cảnh sát điều tra - Công an Thành phố Hà Nội,BCA_CA_HN_PC01,van phong co quan canh sat ieu tra cong an thanh pho ha noi,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_CA_HN_PC02,Phòng Cảnh sát hình sự - Công an Thành phố Hà Nội,BCA,cap_phong,cap_tinh,cong_an,2018,2026,dvc_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Phòng Cảnh sát hình sự - Công an Thành phố Hà Nội,BCA_CA_HN_PC02,phong canh sat hinh su cong an thanh pho ha noi,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_CA_HN_PC03,Phòng Cảnh sát kinh tế - Công an Thành phố Hà Nội,BCA,cap_phong,cap_tinh,cong_an,2018,2026,dvc_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Phòng Cảnh sát kinh tế - Công an Thành phố Hà Nội,BCA_CA_HN_PC03,phong canh sat kinh te cong an thanh pho ha noi,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_CA_HN_PC04,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Thành phố Hà Nội,BCA,cap_phong,cap_tinh,cong_an,2018,2026,dvc_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Thành phố Hà Nội,BCA_CA_HN_PC04,phong canh sat ieu tra toi pham ve ma tuy cong an thanh pho ha noi,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_CA_HN_PC06,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Thành phố Hà Nội,BCA,cap_phong,cap_tinh,cong_an,2018,2026,dvc_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Thành phố Hà Nội,BCA_CA_HN_PC06,phong canh sat quan ly hanh chinh ve trat tu xa hoi cong an thanh pho ha noi,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_CA_HN_PC07,Phòng Cảnh sát Phòng cháy chữa cháy và Cứu nạn cứu hộ - Công an Thành phố Hà Nội,BCA,cap_phong,cap_tinh,cong_an,2018,2026,dvc_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Phòng Cảnh sát Phòng cháy chữa cháy và Cứu nạn cứu hộ - Công an Thành phố Hà Nội,BCA_CA_HN_PC07,phong canh sat phong chay chua chay va cuu nan cuu ho cong an thanh pho ha noi,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_CA_HN_PC08,Phòng Cảnh sát giao thông - Công an Thành phố Hà Nội,BCA,cap_phong,cap_tinh,cong_an,2018,2026,dvc_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Phòng Cảnh sát giao thông - Công an Thành phố Hà Nội,BCA_CA_HN_PC08,phong canh sat giao thong cong an thanh pho ha noi,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_CA_HN_PA01,Phòng An ninh đối ngoại - Công an Thành phố Hà Nội,BCA,cap_phong,cap_tinh,cong_an,2018,2026,dvc_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Phòng An ninh đối ngoại - Công an Thành phố Hà Nội,BCA_CA_HN_PA01,phong an ninh oi ngoai cong an thanh pho ha noi,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_CA_HN_PA02,Phòng An ninh nội địa - Công an Thành phố Hà Nội,BCA,cap_phong,cap_tinh,cong_an,2018,2026,dvc_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Phòng An ninh nội địa - Công an Thành phố Hà Nội,BCA_CA_HN_PA02,phong an ninh noi ia cong an thanh pho ha noi,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_CA_HN_PA03,Phòng An ninh chính trị nội bộ - Công an Thành phố Hà Nội,BCA,cap_phong,cap_tinh,cong_an,2018,2026,dvc_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Phòng An ninh chính trị nội bộ - Công an Thành phố Hà Nội,BCA_CA_HN_PA03,phong an ninh chinh tri noi bo cong an thanh pho ha noi,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_CA_HN_PA05,Phòng An ninh mạng và phòng chống tội phạm công nghệ cao - Công an Thành phố Hà Nội,BCA,cap_phong,cap_tinh,cong_an,2018,2026,dvc_2018,https://dichvucong.gov.vn,danh_ba_chinh_phu,KHUNG_CO_CAU_CHINH_PHU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Phòng An ninh mạng và phòng chống tội phạm công nghệ cao - Công an Thành phố Hà Nội,BCA_CA_HN_PA05,phong an ninh mang va phong chong toi pham cong nghe cao cong an thanh pho ha noi,BCA,Luat_Nghiep_Vu_Chinh,CAO,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-13,DataVietNam,2026-09-13
BCA_CA_HTAY,Công an Tỉnh Hà Tây,BCA,cap_tinh,cap_tinh,cong_an,2018,2026,legacy_record_dvc,https://dichvucong.gov.vn,danh_ba_chinh_phu,LUU_TRU_LICH_SU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Công an Tỉnh Hà Tây,BCA_CA_HTAY,cong an tinh ha tay,BCA,Luat_Nghiep_Vu_Chinh,CAO,Đơn vị lịch sử (Hà Tây / QĐ1 / QĐ2) đã định danh mốc hiệu lực,2026-09-13,DataVietNam,2026-09-13
BCA_CA_HTAY_PC01,Văn phòng Cơ quan Cảnh sát điều tra - Công an Tỉnh Hà Tây,BCA,cap_phong,cap_tinh,cong_an,2018,2026,legacy_record_dvc,https://dichvucong.gov.vn,danh_ba_chinh_phu,LUU_TRU_LICH_SU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Văn phòng Cơ quan Cảnh sát điều tra - Công an Tỉnh Hà Tây,BCA_CA_HTAY_PC01,van phong co quan canh sat ieu tra cong an tinh ha tay,BCA,Luat_Nghiep_Vu_Chinh,CAO,Đơn vị lịch sử (Hà Tây / QĐ1 / QĐ2) đã định danh mốc hiệu lực,2026-09-13,DataVietNam,2026-09-13
BCA_CA_HTAY_PC02,Phòng Cảnh sát hình sự - Công an Tỉnh Hà Tây,BCA,cap_phong,cap_tinh,cong_an,2018,2026,legacy_record_dvc,https://dichvucong.gov.vn,danh_ba_chinh_phu,LUU_TRU_LICH_SU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Phòng Cảnh sát hình sự - Công an Tỉnh Hà Tây,BCA_CA_HTAY_PC02,phong canh sat hinh su cong an tinh ha tay,BCA,Luat_Nghiep_Vu_Chinh,CAO,Đơn vị lịch sử (Hà Tây / QĐ1 / QĐ2) đã định danh mốc hiệu lực,2026-09-13,DataVietNam,2026-09-13
BCA_CA_HTAY_PC03,Phòng Cảnh sát kinh tế - Công an Tỉnh Hà Tây,BCA,cap_phong,cap_tinh,cong_an,2018,2026,legacy_record_dvc,https://dichvucong.gov.vn,danh_ba_chinh_phu,LUU_TRU_LICH_SU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Phòng Cảnh sát kinh tế - Công an Tỉnh Hà Tây,BCA_CA_HTAY_PC03,phong canh sat kinh te cong an tinh ha tay,BCA,Luat_Nghiep_Vu_Chinh,CAO,Đơn vị lịch sử (Hà Tây / QĐ1 / QĐ2) đã định danh mốc hiệu lực,2026-09-13,DataVietNam,2026-09-13
BCA_CA_HTAY_PC04,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Tỉnh Hà Tây,BCA,cap_phong,cap_tinh,cong_an,2018,2026,legacy_record_dvc,https://dichvucong.gov.vn,danh_ba_chinh_phu,LUU_TRU_LICH_SU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Tỉnh Hà Tây,BCA_CA_HTAY_PC04,phong canh sat ieu tra toi pham ve ma tuy cong an tinh ha tay,BCA,Luat_Nghiep_Vu_Chinh,CAO,Đơn vị lịch sử (Hà Tây / QĐ1 / QĐ2) đã định danh mốc hiệu lực,2026-09-13,DataVietNam,2026-09-13
BCA_CA_HTAY_PC06,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Tỉnh Hà Tây,BCA,cap_phong,cap_tinh,cong_an,2018,2026,legacy_record_dvc,https://dichvucong.gov.vn,danh_ba_chinh_phu,LUU_TRU_LICH_SU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Tỉnh Hà Tây,BCA_CA_HTAY_PC06,phong canh sat quan ly hanh chinh ve trat tu xa hoi cong an tinh ha tay,BCA,Luat_Nghiep_Vu_Chinh,CAO,Đơn vị lịch sử (Hà Tây / QĐ1 / QĐ2) đã định danh mốc hiệu lực,2026-09-13,DataVietNam,2026-09-13
BCA_CA_HTAY_PC07,Phòng Cảnh sát Phòng cháy chữa cháy và Cứu nạn cứu hộ - Công an Tỉnh Hà Tây,BCA,cap_phong,cap_tinh,cong_an,2018,2026,legacy_record_dvc,https://dichvucong.gov.vn,danh_ba_chinh_phu,LUU_TRU_LICH_SU,source,2026-09-13T01:39:04.864508,crawl_2018_2026,Phòng Cảnh sát Phòng cháy chữa cháy và Cứu nạn cứu hộ - Công an Tỉnh Hà Tây,BCA_CA_HTAY_PC07,phong canh sat phong chay chua chay va cuu nan cuu ho cong an tinh ha tay,BCA,Luat_Nghiep_Vu_Chinh,CAO,Đơn vị lịch sử (Hà Tây / QĐ1 / QĐ2) đã định danh mốc hiệu lực,2026-09-13,DataVietNam,2026-09-13
